certificate_no,company,company_link,country,product_designation,certificate_type,software_version,protocol_version,date_of_registration,certificate_url,product_type
OCA.0016.1210.CSMS,GAIAS,https://openchargealliance.org/participants/gaias/,Republic of Korea,GAIAS CSMS,Core + S + C,OCPP-1.6,OCPP 1.6,2026-03-24,https://openchargealliance.org/wp-content/uploads/2026/04/Certificate_OCA.0016.1210.CSMS_GAIAS.pdf,Charging Station Management System
OCA.0016.1200.CSMS,GENERAL SECURITY SRL,https://openchargealliance.org/participants/general-security-srl/,Romania,Ampevo Charge CSMS,Core + S + C,1.0.0,OCPP 1.6,2026-02-13,https://openchargealliance.org/wp-content/uploads/2026/02/Certificate_OCA.0016.1200.CSMS_GS.pdf,Charging Station Management System
OCA.0016.0986.CSMS,GNRGY LTD,https://openchargealliance.org/participants/gnrgy-ltd/,Israel,Gnrgy Vega,Full,v1.7.0,OCPP 1.6,2024-12-12,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0986.GNRGY_.pdf,Charging Station Management System
OCA.0016.0837.CSMS,Green Power,,Republic of Korea,Green Power CSMS,Full,1.0.0,OCPP 1.6,2024-08-30,https://openchargealliance.org/wp-content/uploads/2024/09/Certificate_OCA.0016.0837.CSMS_GreenPower.pdf,Charging Station Management System
OCA.0201.0042.CSMS,Green Power,,Republic of Korea,Green Power CSMS,Core + S,1.0.0,OCPP 2.0.1,2024-07-30,https://openchargealliance.org/wp-content/uploads/2024/09/Certificate_OCA.0201.0042.CSMS_GreenPower.pdf,Charging Station Management System
OCA.0201.0032.CSMS,GreenFlux Assets B.V.,https://openchargealliance.org/participants/greenflux-assets-b-v/,The Netherlands,GreenFlux EV Platform,Core + S,1.0.0,OCPP 2.0.1,2024-07-22,https://openchargealliance.org/wp-content/uploads/2024/08/Certificate_OCA.0201.0032.CSMS_GreenFlux.pdf,Charging Station Management System
OCA.0016.0002.CSMS,Greenlots,https://openchargealliance.org/participants/shell-global-solutions-deutschland-gmbh/,USA,Electric Vehicle Charging Networks,Full,03.76.20,OCPP 1.6,2019-11-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160002CSMS_Greenlots.pdf,Charging Station Management System
OCA.0016.0054.CSMS,Gridwiz Inc.,https://openchargealliance.org/participants/gridwiz-inc/,Republic of Korea,Gridwiz CSMS,Full,1.1.0,OCPP 1.6,2022-02-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160054CSMS_Gridwiz.pdf,Charging Station Management System
OCA.0016.0055.CSMS,Gridwiz Inc.,https://openchargealliance.org/participants/gridwiz-inc/,Republic of Korea,Gridwiz CSMS,Security,1.1.0,OCPP 1.6,2022-02-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160055CSMS_Gridwiz.pdf,Charging Station Management System
OCA.0016.0588.CSMS,GS Caltex Corporation,,Republic of Korea,GS Caltex CSMS,Full,GSCaltex_CSMS_v1.0,OCPP 1.6,2023-12-20,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0588.CSMS_GS-Caltex.pdf,Charging Station Management System
OCA.0016.0211.CSMS,Halo Energy Limited,https://openchargealliance.org/participants/halo-energy-limited/,Hong Kong,E+Panel,Full,4.0,OCPP 1.6,2022-11-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0211.CSMS_Halo_Energy_Limited.pdf,Charging Station Management System
OCA.0016.0608.CSMS,HANMAUM,,Republic of Korea,CSMS,Full,1.6,OCPP 1.6,2024-01-18,https://openchargealliance.org/wp-content/uploads/2024/02/Certificate_OCA.0016.0608.CSMS_HANMAUM.pdf,Charging Station Management System
OCA.0016.1236.CSMS,"HANSOL MS Co., Ltd",https://openchargealliance.org/participants/hansol-ms-co-ltd/,Republic of Korea,HS-CSMS,Core + S + C,1.0.1,OCPP 1.6,2026-05-11,https://openchargealliance.org/wp-content/uploads/2026/05/Certificate_OCA.0016.1236.CSMS_HANSOLMS.pdf,Charging Station Management System
OCA.0016.0095.CSMS,Hanwha Solutions Corporation,,Republic of Korea,HanwhaMotiev CSMS 1.0,Full,1.0.0,OCPP 1.6,2022-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160095CSMS_Hanwha.pdf,Charging Station Management System
OCA.0016.0096.CSMS,Hanwha Solutions Corporation,,Republic of Korea,HanwhaMotiev CSMS 1.0,Security,1.0.0,OCPP 1.6,2022-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160096CSMS_Hanwha.pdf,Charging Station Management System
OCA.0016.0357.CSMS,HKD Green Tech UG,,Germany,EM-CSMS,Full,1.1.0,OCPP 1.6,2023-05-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0357.CSMS_HKD-Green-Tech-UG.pdf,Charging Station Management System
OCA.0016.0358.CSMS,HKD Green Tech UG,,Germany,EM-CSMS,Security,1.1.0,OCPP 1.6,2023-05-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0358.CSMS_HKD-Green-Tech-UG.pdf,Charging Station Management System
OCA.0016.0067.CSMS,HUMAX EV,https://openchargealliance.org/participants/humax-ev/,Republic of Korea,Humax Charger,Full,1.0.0,OCPP 1.6,2022-03-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160067CSMS_HUMAX-EV-full.pdf,Charging Station Management System
OCA.0016.0068.CSMS,HUMAX EV,https://openchargealliance.org/participants/humax-ev/,Republic of Korea,Humax Charger,Security,1.0.0,OCPP 1.6,2022-03-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160068CSMS_HUMAX-EV-security_1.pdf,Charging Station Management System
OCA.0016.1031.CSMS,Hyundai Autoever,,Republic of Korea,PLUG MATE CSMS,Full + Security,1.0.0,OCPP 1.6,2025-04-02,https://openchargealliance.org/wp-content/uploads/2025/04/Certificate_OCA.0016.1031.CSMS_Hyundai_Autoever.pdf,Charging Station Management System
OCA.0016.0514.CSMS,Hyundai Kefico,https://openchargealliance.org/participants/hyundai-kefico/,Republic of Korea,BLUE PLUG CSMS,Full,v1.0.0,OCPP 1.6,2023-10-18,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0514.CSMS_Hyundai-Kefico.pdf,Charging Station Management System
OCA.0016.0515.CSMS,Hyundai Kefico,https://openchargealliance.org/participants/hyundai-kefico/,Republic of Korea,BLUE PLUG CSMS,Security,v1.0.0,OCPP 1.6,2023-10-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0515.CSMS_Hyundai-Kefico.pdf,Charging Station Management System
OCA.0016.0082.CSMS,Hyundai Motor Company,,Republic of Korea,E-CSP CPOS (EV - Charging Service Platform Charge Point Operation System),Full,1.0.0,OCPP 1.6,2022-03-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160082CSMS_Hyundai.pdf,Charging Station Management System
OCA.0016.0083.CSMS,Hyundai Motor Company,,Republic of Korea,E-CSP CPOS (EV - Charging Service Platform Charge Point Operation System),Security,1.0.0,OCPP 1.6,2022-03-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160083CSMS_Hyundai.pdf,Charging Station Management System
OCA.0016.0232.CSMS,I-Charge Solutions International Co. Ltd.,https://openchargealliance.org/participants/i-charge-solutions-international-co-ltd/,Hong Kong,I-Charge Solutions Charging Stations Management System,Full,1.5.0,OCPP 1.6,2022-11-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0232.CSMS_IChargeSolutions.pdf,Charging Station Management System
OCA.0016.0233.CSMS,I-Charge Solutions International Co. Ltd.,https://openchargealliance.org/participants/i-charge-solutions-international-co-ltd/,Hong Kong,I-Charge Solutions Charging Stations Management System,Security,1.5.0,OCPP 1.6,2022-11-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0233.CSMS_IChargeSolutions.pdf,Charging Station Management System
OCA.0201.0015.CSMS,I-Charge Solutions International Co. Ltd.,https://openchargealliance.org/participants/i-charge-solutions-international-co-ltd/,Hong Kong,ICS CSMS20,Core + S,1.0,OCPP 2.0.1,2024-01-18,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0201.0015.CSMS_I-Charge.pdf,Charging Station Management System
OCA.0016.0451.CSMS,I-ON Communications,,Republic of Korea,I-ON CSMS,Full,1.0.3,OCPP 1.6,2023-08-17,,Charging Station Management System
OCA.0016.0452.CSMS,I-ON Communications,,Republic of Korea,I-ON CSMS,Security,1.0.3,OCPP 1.6,2023-08-17,,Charging Station Management System
OCA.0016.0281.CSMS,iMarketKorea Inc.,,Republic of Korea,IMK EV Charging Management System,Full,v1.0.0,OCPP 1.6,2023-02-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0281.CSMS_iMarketKorea-Inc.pdf,Charging Station Management System
OCA.0016.0282.CSMS,iMarketKorea Inc.,,Republic of Korea,IMK EV Charging Management System,Security,v1.0.0,OCPP 1.6,2023-02-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0282.CSMS_iMarketKorea-Inc.pdf,Charging Station Management System
OCA.0016.0027.CSMS,Impactware Technology Solutions Pvt. Ltd.,,India,goEgoNetwork CSMS,Full,v1.1.0,OCPP 1.6,2021-09-27,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160027CSMS_Impactware-TS.pdf,Charging Station Management System
OCA.0016.0974.CSMS,InCharge Energy,,USA,ICE,Full + Security,4,OCPP 1.6,2025-03-03,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0016.0974.CSMS_InCharge.pdf,Charging Station Management System
OCA.0201.0085.CSMS,InCharge Energy,,USA,ICE,Core + S,4,OCPP 2.0.1,2025-03-11,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0085.CSMS_InCharge_Energy.pdf,Charging Station Management System
OCA.0016.1201.CSMS,Incheon International Airport Corporation,,Republic of Korea,IIAC CSMS 1.6,Core + C,1.6.01,OCPP 1.6,2026-02-27,https://openchargealliance.org/wp-content/uploads/2026/03/Certificate_OCA.0016.1201.CSMS_Incheon_IA.pdf,Charging Station Management System
OCA.0016.0553.CSMS,Inpply Inc.,,Republic of Korea,iEV CSMS,Full,1.0.0,OCPP 1.6,2023-10-27,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0553.CSMS_Inpply.pdf,Charging Station Management System
OCA.0016.0554.CSMS,Inpply Inc.,,Republic of Korea,iEV CSMS,Security,1.0.0,OCPP 1.6,2023-10-27,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0554.CSMS_Innply.pdf,Charging Station Management System
OCA.0016.0356.CSMS,Inscobee Inc.,,Republic of Korea,INS_OCPP1.6J_ServerModule,Full,v1.0.5,OCPP 1.6,2023-06-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0356.CSMS_INSCOBEE.pdf,Charging Station Management System
OCA.0201.0124.CSMS,Instituto Tecnológico de la Energía,https://openchargealliance.org/participants/instituto-tecnologico-de-la-energia-ite/,Spain,HysGrid+ OCPPJ 2.0.1 Server,Core + S + L + C + D + R + U + I,1.0.2.0,OCPP 2.0.1,2025-11-19,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0201.0124.CSMS_ITE.pdf,Charging Station Management System
OCA.0016.0013.CSMS,Instituto Tecnológico de la Energía (ITE),https://openchargealliance.org/participants/instituto-tecnologico-de-la-energia-ite/,Spain,HySGrid,Full,OCPPJ 1.6 Server v1.0.0,OCPP 1.6,2021-06-28,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160013CSMS_ITE.pdf,Charging Station Management System
OCA.0201.0004.CSMS,Instituto Tecnológico de la Energía (ITE),https://openchargealliance.org/participants/instituto-tecnologico-de-la-energia-ite/,Spain,HysGrid+ OCPPJ 2.0.1 Server,Core + S,1.0.0.0,OCPP 2.0.1,2023-11-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0004.CSMS_ITE.pdf,Charging Station Management System
OCA.0016.0091.CSMS,"Jeju Electric Vehicle Service Co., Ltd.",,Republic of Korea,Joy EV CSMS,Full,1.0.0,OCPP 1.6,2022-04-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160091CSMS_Jeju.docx.pdf,Charging Station Management System
OCA.0016.0092.CSMS,"Jeju Electric Vehicle Service Co., Ltd.",,Republic of Korea,Joy EV CSMS,Security,1.0.0,OCPP 1.6,2022-04-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160092CSMS_Jeju.pdf,Charging Station Management System
OCA.0016.0134.CSMS,"JoongAng Control Co., Ltd",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,JAC Cloud CSMS,Full,v1.0.0,OCPP 1.6,2022-05-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160134CSMS_JoongAng.pdf,Charging Station Management System
OCA.0016.0135.CSMS,"JoongAng Control Co., Ltd",https://openchargealliance.org/participants/evsis-co-ltd/,Republic of Korea,JAC Cloud CSMS,Security,v1.0.0,OCPP 1.6,2022-05-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160135CSMS_JoongAng.pdf,Charging Station Management System
OCA.0201.0093.CSMS,"JUBIX CO., LTD.",,Republic of Korea,ChargePot V,Core,2.0.1,OCPP 2.0.1,2025-05-27,https://openchargealliance.org/wp-content/uploads/2025/06/Certificate_OCA.0201.0093.CSMS_JUBIX.pdf,Charging Station Management System
OCA.0016.0596.CSMS,Kazam EV Tech Pvt. Ltd.,https://openchargealliance.org/participants/kazam-ev-tech-pvt-ltd/,India,Kazam CMS,Full,3.1.20,OCPP 1.6,2023-12-14,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0596.CSMS_Kazam.pdf,Charging Station Management System
OCA.0016.0597.CSMS,Kazam EV Tech Pvt. Ltd.,https://openchargealliance.org/participants/kazam-ev-tech-pvt-ltd/,India,Kazam CMS,Security,3.1.20,OCPP 1.6,2023-12-14,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0597.CSMS_Kazam.pdf,Charging Station Management System
OCA.0016.0275.CSMS,KEPCO KDN,,Republic of Korea,KDN-CSMS,Full,1.0,OCPP 1.6,2023-02-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0275.CSMS_KEPCO-KDN.pdf,Charging Station Management System
OCA.0201.0117.CSMS,KEPCO KDN,,Republic of Korea,KEPCO KDN CSMS,Core,1.0.0,OCPP 2.0.1,2025-09-12,https://openchargealliance.org/wp-content/uploads/2025/10/Certificate_OCA.0201.0117.CSMS_KEPCO.pdf,Charging Station Management System
OCA.0016.0007.CSMS,KEVIT,https://openchargealliance.org/participants/kevit/,Republic of Korea,KEVIT CSMS 1.6,Full,1.1.0,OCPP 1.6,2020-07-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160007CSMS_KEVIT_1.pdf,Charging Station Management System
OCA.0016.0017.CSMS,KEVIT,https://openchargealliance.org/participants/kevit/,Republic of Korea,KEVIT CSMS 1.6,Full,1.6.3,OCPP 1.6,2021-08-20,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160017CSMS_KEVIT.pdf,Charging Station Management System
OCA.0016.0018.CSMS,KEVIT,https://openchargealliance.org/participants/kevit/,Republic of Korea,KEVIT CSMS 1.6,Security,1.6.3,OCPP 1.6,2021-08-20,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160018CSMS_KEVIT.pdf,Charging Station Management System
OCA.0201.0007.CSMS,KEVIT,https://openchargealliance.org/participants/kevit/,Republic of Korea,KEVIT CSMS 2.0,Core + S,2.0.10,OCPP 2.0.1,2023-10-16,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0007.CSMS_KEVIT.pdf,Charging Station Management System
OCA.0201.0031.CSMS,KEVIT,https://openchargealliance.org/participants/kevit/,Republic of Korea,KEVIT CSMS 2.0,Core + S + L + C + D + R + U + I,2.0.11,OCPP 2.0.1,2025-04-08,https://openchargealliance.org/wp-content/uploads/2025/05/Certificate_OCA.0201.0031.CSMS_KEVIT.pdf,Charging Station Management System
OCA.0201.0023.CSMS,"Klinelex Co., Ltd",,Republic of Korea,Klinelex CSMS,Core + S,1.0.0,OCPP 2.0.1,2024-05-16,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0023.CSMS_Klinelex.pdf,Charging Station Management System
OCA.0016.0037.CSMS,"Klinelex Co., Ltd",,Republic of Korea,Klinelex K-charger,Full,1.0,OCPP 1.6,2021-11-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160037CSMS_Klinelex.pdf,Charging Station Management System
OCA.0016.0038.CSMS,"Klinelex Co., Ltd",,Republic of Korea,Klinelex K-charger,Security,1.0,OCPP 1.6,2021-11-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160038CSMS_Klinelex_1.pdf,Charging Station Management System
OCA.0016.0099.CSMS,"Koolsign Co., Ltd",https://openchargealliance.org/participants/koolsign-co-ltd/,Republic of Korea,Kool Charge Cloud,Full,1.0,OCPP 1.6,2022-04-01,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160099CSMS_Koolsign.pdf,Charging Station Management System
OCA.0016.0100.CSMS,"Koolsign Co., Ltd",https://openchargealliance.org/participants/koolsign-co-ltd/,Republic of Korea,Kool Charge Cloud,Security,1.0,OCPP 1.6,2022-04-01,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160100CSMS_Koolsign.pdf,Charging Station Management System
OCA.0016.0118.CSMS,"Korea Electric Vehicle Solutions.Co., Ltd",,Republic of Korea,KEVS CSMS,Full,1.0.0,OCPP 1.6,2022-04-26,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160118CSMS_KEVS.pdf,Charging Station Management System
OCA.0016.0073.CSMS,Korea Electrotechnology Research Institute (KERI),,Republic of Korea,KCSMS-001,Full,v1.0,OCPP 1.6,2022-02-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0073.CSMS_KERI-KCSMS-001.pdf,Charging Station Management System
OCA.0016.0899.CSMS,Korea Environment Corporation,,Republic of Korea,KECO CSMS 1.6,Full,1.6.01,OCPP 1.6,2024-09-24,https://openchargealliance.org/wp-content/uploads/2024/11/Certificate_OCA.0016.0899.CSMS_KECO.pdf,Charging Station Management System
OCA.0016.0023.CSMS,Korea Land & Housing Corporation,,Republic of Korea,LH CSMS 1.6,Full,v1.6,OCPP 1.6,2021-09-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160023CSMS_LH.pdf,Charging Station Management System
OCA.0016.0024.CSMS,Korea Land & Housing Corporation,,Republic of Korea,LH CSMS 1.6,Security,v1.6,OCPP 1.6,2021-09-14,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160024CSMS_LH.pdf,Charging Station Management System
OCA.0016.0109.CSMS,LG Electronics,,Republic of Korea,e-Centric,Full,1.0,OCPP 1.6,2022-04-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0109.CSMS_LGElectronics.pdf,Charging Station Management System
OCA.0016.0110.CSMS,LG Electronics,,Republic of Korea,e-Centric,Security,1.0,OCPP 1.6,2022-04-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0110.CSMS_LGElectronics.pdf,Charging Station Management System
OCA.0016.0087.CSMS,LG HelloVision,,Republic of Korea,LG HelloPlugin,Full,1.0,OCPP 1.6,2022-03-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160087CSMS_LG-HelloVision.pdf,Charging Station Management System
OCA.0016.0088.CSMS,LG HelloVision,,Republic of Korea,LG HelloPlugin,Security,1.0,OCPP 1.6,2022-03-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160088CSMS_LG-HelloVision.pdf,Charging Station Management System
OCA.0016.0411.CSMS,LG Uplus,,Republic of Korea,Volt Up,Full,1.0,OCPP 1.6,2023-07-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0411.CSMS_LG-Uplus.pdf,Charging Station Management System
OCA.0016.0412.CSMS,LG Uplus,,Republic of Korea,Volt Up,Security,1.0,OCPP 1.6,2023-07-18,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0412.CSMS_LG-Uplus.pdf,Charging Station Management System
OCA.0016.0911.CSMS,LG Uplus VoltUp Corp.,,Republic of Korea,VoltUp CSMS,Full + Security,2.0.0,OCPP 1.6,2024-09-25,https://openchargealliance.org/wp-content/uploads/2024/11/Certificate_OCA.0016.0911.CSMS_LG_Uplus_VoltUp_corp.pdf,Charging Station Management System
OCA.0016.0572.CSMS,"Lineworld Co.,Ltd.",,Republic of Korea,LW-CSMS,Full,1.00.00,OCPP 1.6,2023-11-24,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0572.CSMS_Lineworld.pdf,Charging Station Management System
OCA.0016.0573.CSMS,"Lineworld Co.,Ltd.",,Republic of Korea,LW-CSMS,Security,1.00.00,OCPP 1.6,2023-11-24,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0573.CSMS_Lineworld.pdf,Charging Station Management System
OCA.0016.0549.CSMS,LITE-ON SINGAPORE Pte. Ltd.,https://openchargealliance.org/participants/lite-on-technology-corporation/,Singapore,Liteon CSMS,Full,1.2,OCPP 1.6,2023-10-23,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0549.CSMS_LiteOn.pdf,Charging Station Management System
OCA.0016.0550.CSMS,LITE-ON SINGAPORE Pte. Ltd.,https://openchargealliance.org/participants/lite-on-technology-corporation/,Singapore,Liteon CSMS,Security,1.2,OCPP 1.6,2023-10-23,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0550.CSMS_LiteOn.pdf,Charging Station Management System
OCA.0201.0135.CSMS,LITE-ON SINGAPORE Pte. Ltd.,https://openchargealliance.org/participants/lite-on-technology-corporation/,Singapore,One EMS,Core + C + I,2.1,OCPP 2.0.1,2026-01-23,https://openchargealliance.org/wp-content/uploads/2026/02/Certificate_OCA.0201.0135.CSMS_Liteon.pdf,Charging Station Management System
OCA.0016.0323.CSMS,"LS E-Link Co.,Ltd",,Republic of Korea,ELVIS,Full,1.0.0,OCPP 1.6,2023-04-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0323.CSMS_LS-E-Link-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0324.CSMS,"LS E-Link Co.,Ltd",,Republic of Korea,ELVIS,Security,1.0.0,OCPP 1.6,2023-04-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0324.CSMS_LS-E-Link-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0850.CSMS,"LUOYANG GRASEN POWER TECHNOLOGY CO., LTD.",https://openchargealliance.org/participants/luoyang-grasen-power-technology-co-ltd/,China,GRASEN CSMS,Full + Security,v1.0.0,OCPP 1.6,2024-09-11,https://openchargealliance.org/wp-content/uploads/2024/10/Certificate_OCA.0016.0850.CSMS_Grasen.pdf,Charging Station Management System
OCA.0016.0687.CSMS,Lynkwell,https://openchargealliance.org/participants/evredi-inc-dba-lynkwell/,USA,Lynkwell Energy Platform,Full,1.140.2,OCPP 1.6,2024-04-18,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0687.CSMS_Lynkwell.pdf,Charging Station Management System
OCA.0201.0038.CSMS,Lynkwell,https://openchargealliance.org/participants/evredi-inc-dba-lynkwell/,USA,Lynkwell Energy Platform,Core,1.159.0,OCPP 2.0.1,2024-07-03,https://openchargealliance.org/wp-content/uploads/2024/07/Certificate_OCA.0201.0038.CSMS_Lynkwell.pdf,Charging Station Management System
OCA.0201.0021.CSMS,ManageOn,,Republic of Korea,EVFLEX,Core + S,1.0.0,OCPP 2.0.1,2024-04-15,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0021.CSMS_ManageOn.pdf,Charging Station Management System
OCA.0016.0066.CSMS,ManageOn,,Republic of Korea,MON-CSMS-V10,Full,v1.0,OCPP 1.6,2022-03-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160066CSMS_ManageOn.pdf,Charging Station Management System
OCA.0016.0637.CSMS,"MIRAE C&L CO.,LTD.",,Republic of Korea,MCNL-CSMS-001,Full,V1.0,OCPP 1.6,2024-02-29,https://openchargealliance.org/wp-content/uploads/2024/03/Certificate_OCA.0016.0637.CSMS_MIRAE.pdf,Charging Station Management System
OCA.0016.0638.CSMS,"MIRAE C&L CO.,LTD.",,Republic of Korea,MCNL-CSMS-001,Security,V1.0,OCPP 1.6,2024-02-29,https://openchargealliance.org/wp-content/uploads/2024/03/Certificate_OCA.0016.0638.CSMS_MIRAE.pdf,Charging Station Management System
OCA.0016.0997.CSMS,Mirae-SD,,Republic of Korea,MIRAECSMS,Full + Security,1.0.0,OCPP 1.6,2025-02-06,https://openchargealliance.org/wp-content/uploads/2025/05/Certificate_OCA.0016.0997.CSMS_MIRAE.pdf,Charging Station Management System
OCA.0016.0346.CSMS,Moderntec,,Republic of Korea,MOG Server v1.0,Full,1.0.0,OCPP 1.6,2023-03-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0346.CSMS_MODERNTEC-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0347.CSMS,Moderntec,,Republic of Korea,MOG Server v1.0,Security,1.0.0,OCPP 1.6,2023-03-30,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0347.CSMS_MODERNTEC-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.1228.CSMS,Motrex EV,https://openchargealliance.org/participants/motrex-ev/,Republic of Korea,Greenity,Core + S + C,v1.0,OCPP 1.6,2026-04-17,https://openchargealliance.org/wp-content/uploads/2026/04/Certificate_OCA.0016.1228.CSMS_Motrex.pdf,Charging Station Management System
OCA.0016.0090.CSMS,NamBoo Solution,,Republic of Korea,Namboo EV Charging Management System,Full,NB_Ocpp_CSMS v1.0,OCPP 1.6,2022-04-08,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160090CSMS_Namboo-Solution.pdf,Charging Station Management System
OCA.0016.0076.CSMS,NEC Corporation,,Japan,N-CSMS16,Full,v1.0.0,OCPP 1.6,2022-03-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160076CSMS_NEC-Corporation.pdf,Charging Station Management System
OCA.0016.0077.CSMS,NEC Corporation,,Japan,N-CSMS16,Security,v1.0.0,OCPP 1.6,2022-03-17,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160077CSMS_NEC.pdf,Charging Station Management System
OCA.0201.0087.CSMS,NEC Corporation,,Japan,N-CSMS20,Core + S,v1,OCPP 2.0.1,2025-05-12,https://openchargealliance.org/wp-content/uploads/2025/05/Certificate_OCA.0201.0087.CSMS_NEC.pdf,Charging Station Management System
W01.OCA.0016.1071.CSMS,NEXT GENERATION TECHNOLOGIES SRL,https://openchargealliance.org/participants/next-generation-technologies-srl/,Romania,NGT Charge Platform-CSMS,Full + Security,1.6-J,OCPP 1.6,2026-02-27,https://openchargealliance.org/wp-content/uploads/2026/03/W01.OCA_.0016.1071.CSMS-NGT_signed.pdf,Charging Station Management System
